Facteurs,Mean,Stand_dev,Se
Attractivité Globale (ATT),0.142857142857143,1.2038378102227307,0.13134947356656065
Qualité Hédonique - Identité (QH-I),-0.03571428571428574,1.2557955148889273,0.13701852391344174
Qualité Hédonique - Stimulation (QH-S),-0.10714285714285689,1.3798712803846211,0.15055629980138477
Qualité Pragmatique (QP),-0.2261904761904761,1.4673243453190699,0.16009821146371808
